net,type,channel,lane,x_um,y_um
bond_ch0_lane39,signal,0,39,201.0,147.0
bond_ch0_lane40,signal,0,40,210.0,120.0
bond_ch0_lane41,signal,0,41,210.0,129.0
bond_ch0_lane42,signal,0,42,210.0,138.0
bond_ch0_lane43,signal,0,43,210.0,147.0
bond_ch0_lane44,signal,0,44,219.0,120.0
bond_ch0_lane45,signal,0,45,219.0,129.0
bond_ch0_lane46,signal,0,46,219.0,138.0
bond_ch0_lane47,signal,0,47,219.0,147.0
VDD_BOND,power,0,-1,223.5,124.5
VSS_BOND,power,0,-1,223.5,133.5
VDD_BOND,power,0,-1,223.5,142.5
VSS_BOND,power,0,-1,223.5,151.5
bond_ch0_lane48,signal,0,48,228.0,120.0
bond_ch0_lane49,signal,0,49,228.0,129.0
bond_ch0_lane50,signal,0,50,228.0,138.0
bond_ch0_lane51,signal,0,51,228.0,147.0
bond_ch0_lane52,signal,0,52,237.0,120.0
bond_ch0_lane53,signal,0,53,237.0,129.0
bond_ch0_lane54,signal,0,54,237.0,138.0
bond_ch0_lane55,signal,0,55,237.0,147.0
bond_ch0_lane56,signal,0,56,246.0,120.0
bond_ch0_lane57,signal,0,57,246.0,129.0
bond_ch0_lane58,signal,0,58,246.0,138.0
bond_ch0_lane59,signal,0,59,246.0,147.0
bond_ch0_lane60,signal,0,60,255.0,120.0
bond_ch0_lane61,signal,0,61,255.0,129.0
bond_ch0_lane62,signal,0,62,255.0,138.0
bond_ch0_lane63,signal,0,63,255.0,147.0
VDD_BOND,power,0,-1,259.5,124.5
VSS_BOND,power,0,-1,259.5,133.5
VDD_BOND,power,0,-1,259.5,142.5
VSS_BOND,power,0,-1,259.5,151.5
bond_ch0_lane64,signal,0,64,264.0,120.0
bond_ch0_lane65,signal,0,65,264.0,129.0
bond_ch0_lane66,signal,0,66,264.0,138.0
bond_ch0_lane67,signal,0,67,264.0,147.0
bond_ch0_lane68,signal,0,68,273.0,120.0
bond_ch0_lane69,signal,0,69,273.0,129.0
bond_ch0_lane70,signal,0,70,273.0,138.0
bond_ch0_lane71,signal,0,71,273.0,147.0
bond_ch0_lane72,signal,0,72,282.0,120.0
bond_ch0_lane73,signal,0,73,282.0,129.0
bond_ch0_lane74,signal,0,74,282.0,138.0
bond_ch0_lane75,signal,0,75,282.0,147.0
bond_ch0_lane76,signal,0,76,291.0,120.0
bond_ch0_lane77,signal,0,77,291.0,129.0
bond_ch0_lane78,signal,0,78,291.0,138.0
bond_ch0_lane79,signal,0,79,291.0,147.0
VDD_BOND,power,0,-1,295.5,124.5
VSS_BOND,power,0,-1,295.5,133.5
VDD_BOND,power,0,-1,295.5,142.5
VSS_BOND,power,0,-1,295.5,151.5
bond_ch0_lane80,signal,0,80,300.0,120.0
bond_ch0_lane81,signal,0,81,300.0,129.0
bond_ch0_lane82,signal,0,82,300.0,138.0
bond_ch0_lane83,signal,0,83,300.0,147.0
bond_ch0_lane84,signal,0,84,309.0,120.0
bond_ch0_lane85,signal,0,85,309.0,129.0
bond_ch0_lane86,signal,0,86,309.0,138.0
bond_ch0_lane87,signal,0,87,309.0,147.0
bond_ch0_lane88,signal,0,88,318.0,120.0
bond_ch0_lane89,signal,0,89,318.0,129.0
bond_ch0_lane90,signal,0,90,318.0,138.0
bond_ch0_lane91,signal,0,91,318.0,147.0
bond_ch0_lane92,signal,0,92,327.0,120.0
bond_ch0_lane93,signal,0,93,327.0,129.0
bond_ch0_lane94,signal,0,94,327.0,138.0
bond_ch0_lane95,signal,0,95,327.0,147.0
VDD_BOND,power,0,-1,331.5,124.5
VSS_BOND,power,0,-1,331.5,133.5
VDD_BOND,power,0,-1,331.5,142.5
VSS_BOND,power,0,-1,331.5,151.5
bond_ch0_lane96,signal,0,96,336.0,120.0
bond_ch0_lane97,signal,0,97,336.0,129.0
bond_ch0_lane98,signal,0,98,336.0,138.0
bond_ch0_lane99,signal,0,99,336.0,147.0
bond_ch0_lane100,signal,0,100,345.0,120.0
bond_ch0_lane101,signal,0,101,345.0,129.0
bond_ch0_lane102,signal,0,102,345.0,138.0
bond_ch0_lane103,signal,0,103,345.0,147.0
bond_ch0_lane104,signal,0,104,354.0,120.0
bond_ch0_lane105,signal,0,105,354.0,129.0
bond_ch0_lane106,signal,0,106,354.0,138.0
bond_ch0_lane107,signal,0,107,354.0,147.0
bond_ch0_lane108,signal,0,108,363.0,120.0
bond_ch0_lane109,signal,0,109,363.0,129.0
bond_ch0_lane110,signal,0,110,363.0,138.0
bond_ch0_lane111,signal,0,111,363.0,147.0
VDD_BOND,power,0,-1,367.5,124.5
VSS_BOND,power,0,-1,367.5,133.5
VDD_BOND,power,0,-1,367.5,142.5
VSS_BOND,power,0,-1,367.5,151.5
bond_ch0_lane112,signal,0,112,372.0,120.0
bond_ch0_lane113,signal,0,113,372.0,129.0
bond_ch0_lane114,signal,0,114,372.0,138.0
bond_ch0_lane115,signal,0,115,372.0,147.0
bond_ch0_lane116,signal,0,116,381.0,120.0
bond_ch0_lane117,signal,0,117,381.0,129.0
bond_ch0_lane118,signal,0,118,381.0,138.0
bond_ch0_lane119,signal,0,119,381.0,147.0
bond_ch0_lane120,signal,0,120,390.0,120.0
bond_ch0_lane121,signal,0,121,390.0,129.0
bond_ch0_lane122,signal,0,122,390.0,138.0
bond_ch0_lane123,signal,0,123,390.0,147.0
bond_ch0_lane124,signal,0,124,399.0,120.0
bond_ch0_lane125,signal,0,125,399.0,129.0
bond_ch0_lane126,signal,0,126,399.0,138.0
bond_ch0_lane127,signal,0,127,399.0,147.0
VDD_BOND,power,0,-1,403.5,124.5
VSS_BOND,power,0,-1,403.5,133.5
VDD_BOND,power,0,-1,403.5,142.5
VSS_BOND,power,0,-1,403.5,151.5
bond_ch0_lane128,signal,0,128,408.0,120.0
bond_ch0_lane129,signal,0,129,408.0,129.0
bond_ch0_lane130,signal,0,130,408.0,138.0
bond_ch0_lane131,signal,0,131,408.0,147.0
bond_ch0_lane132,signal,0,132,417.0,120.0
bond_ch0_lane133,signal,0,133,417.0,129.0
bond_ch0_lane134,signal,0,134,417.0,138.0
bond_ch0_lane135,signal,0,135,417.0,147.0
bond_ch0_lane136,signal,0,136,426.0,120.0
bond_ch0_lane137,signal,0,137,426.0,129.0
bond_ch0_lane138,signal,0,138,426.0,138.0
bond_ch0_lane139,signal,0,139,426.0,147.0
bond_ch0_lane140,signal,0,140,435.0,120.0
bond_ch0_lane141,signal,0,141,435.0,129.0
bond_ch0_lane142,signal,0,142,435.0,138.0
bond_ch0_lane143,signal,0,143,435.0,147.0
VDD_BOND,power,0,-1,439.5,124.5
VSS_BOND,power,0,-1,439.5,133.5
VDD_BOND,power,0,-1,439.5,142.5
VSS_BOND,power,0,-1,439.5,151.5
bond_ch0_lane144,signal,0,144,444.0,120.0
bond_ch0_lane145,signal,0,145,444.0,129.0
bond_ch0_lane146,signal,0,146,444.0,138.0
bond_ch0_lane147,signal,0,147,444.0,147.0
bond_ch0_lane148,signal,0,148,453.0,120.0
bond_ch0_lane149,signal,0,149,453.0,129.0
bond_ch0_lane150,signal,0,150,453.0,138.0
bond_ch0_lane151,signal,0,151,453.0,147.0
bond_ch0_lane152,signal,0,152,462.0,120.0
bond_ch0_lane153,signal,0,153,462.0,129.0
bond_ch0_lane154,signal,0,154,462.0,138.0
bond_ch0_lane155,signal,0,155,462.0,147.0
bond_ch0_lane156,signal,0,156,471.0,120.0
bond_ch0_lane157,signal,0,157,471.0,129.0
bond_ch0_lane158,signal,0,158,471.0,138.0
bond_ch0_lane159,signal,0,159,471.0,147.0
VDD_BOND,power,0,-1,475.5,124.5
VSS_BOND,power,0,-1,475.5,133.5
VDD_BOND,power,0,-1,475.5,142.5
VSS_BOND,power,0,-1,475.5,151.5
bond_ch0_lane160,signal,0,160,480.0,120.0
bond_ch0_lane161,signal,0,161,480.0,129.0
bond_ch0_lane162,signal,0,162,480.0,138.0
bond_ch0_lane163,signal,0,163,480.0,147.0
bond_ch0_lane164_spare,signal,0,164,489.0,120.0
bond_ch0_lane165_spare,signal,0,165,489.0,129.0
bond_ch0_lane166_spare,signal,0,166,489.0,138.0
bond_ch0_lane167_spare,signal,0,167,489.0,147.0
bond_ch0_lane168_spare,signal,0,168,498.0,120.0
bond_ch0_lane169_spare,signal,0,169,498.0,129.0
bond_ch0_lane170_spare,signal,0,170,498.0,138.0
bond_ch0_lane171_spare,signal,0,171,498.0,147.0
VDD_BOND,power,0,-1,502.5,124.5
VSS_BOND,power,0,-1,502.5,133.5
VDD_BOND,power,0,-1,502.5,142.5
VSS_BOND,power,0,-1,502.5,151.5
bond_ch1_lane0,signal,1,0,516.0,120.0
bond_ch1_lane1,signal,1,1,516.0,129.0
bond_ch1_lane2,signal,1,2,516.0,138.0
bond_ch1_lane3,signal,1,3,516.0,147.0
VDD_BOND,power,1,-1,520.5,124.5
VSS_BOND,power,1,-1,520.5,133.5
VDD_BOND,power,1,-1,520.5,142.5
VSS_BOND,power,1,-1,520.5,151.5
bond_ch1_lane4,signal,1,4,525.0,120.0
bond_ch1_lane5,signal,1,5,525.0,129.0
bond_ch1_lane6,signal,1,6,525.0,138.0
bond_ch1_lane7,signal,1,7,525.0,147.0
bond_ch1_lane8,signal,1,8,534.0,120.0
bond_ch1_lane9,signal,1,9,534.0,129.0
bond_ch1_lane10,signal,1,10,534.0,138.0
bond_ch1_lane11,signal,1,11,534.0,147.0
bond_ch1_lane12,signal,1,12,543.0,120.0
bond_ch1_lane13,signal,1,13,543.0,129.0
bond_ch1_lane14,signal,1,14,543.0,138.0
bond_ch1_lane15,signal,1,15,543.0,147.0
VDD_BOND,power,1,-1,547.5,124.5
VSS_BOND,power,1,-1,547.5,133.5
VDD_BOND,power,1,-1,547.5,142.5
VSS_BOND,power,1,-1,547.5,151.5
bond_ch1_lane16,signal,1,16,552.0,120.0
bond_ch1_lane17,signal,1,17,552.0,129.0
bond_ch1_lane18,signal,1,18,552.0,138.0
bond_ch1_lane19,signal,1,19,552.0,147.0
bond_ch1_lane20,signal,1,20,561.0,120.0
bond_ch1_lane21,signal,1,21,561.0,129.0
bond_ch1_lane22,signal,1,22,561.0,138.0
bond_ch1_lane23,signal,1,23,561.0,147.0
bond_ch1_lane24,signal,1,24,570.0,120.0
bond_ch1_lane25,signal,1,25,570.0,129.0
bond_ch1_lane26,signal,1,26,570.0,138.0
bond_ch1_lane27,signal,1,27,570.0,147.0
bond_ch1_lane28,signal,1,28,579.0,120.0
bond_ch1_lane29,signal,1,29,579.0,129.0
bond_ch1_lane30,signal,1,30,579.0,138.0
bond_ch1_lane31,signal,1,31,579.0,147.0
VDD_BOND,power,1,-1,583.5,124.5
VSS_BOND,power,1,-1,583.5,133.5
VDD_BOND,power,1,-1,583.5,142.5
VSS_BOND,power,1,-1,583.5,151.5
bond_ch1_lane32,signal,1,32,588.0,120.0
bond_ch1_lane33,signal,1,33,588.0,129.0
bond_ch1_lane34,signal,1,34,588.0,138.0
bond_ch1_lane35,signal,1,35,588.0,147.0
bond_ch1_lane36,signal,1,36,597.0,120.0
bond_ch1_lane37,signal,1,37,597.0,129.0
bond_ch1_lane38,signal,1,38,597.0,138.0
bond_ch1_lane39,signal,1,39,597.0,147.0
bond_ch1_lane40,signal,1,40,606.0,120.0
bond_ch1_lane41,signal,1,41,606.0,129.0
bond_ch1_lane42,signal,1,42,606.0,138.0
bond_ch1_lane43,signal,1,43,606.0,147.0
bond_ch1_lane44,signal,1,44,615.0,120.0
bond_ch1_lane45,signal,1,45,615.0,129.0
bond_ch1_lane46,signal,1,46,615.0,138.0
bond_ch1_lane47,signal,1,47,615.0,147.0
VDD_BOND,power,1,-1,619.5,124.5
VSS_BOND,power,1,-1,619.5,133.5
VDD_BOND,power,1,-1,619.5,142.5
VSS_BOND,power,1,-1,619.5,151.5
bond_ch1_lane48,signal,1,48,624.0,120.0
bond_ch1_lane49,signal,1,49,624.0,129.0
bond_ch1_lane50,signal,1,50,624.0,138.0
bond_ch1_lane51,signal,1,51,624.0,147.0
bond_ch1_lane52,signal,1,52,633.0,120.0
bond_ch1_lane53,signal,1,53,633.0,129.0
bond_ch1_lane54,signal,1,54,633.0,138.0
bond_ch1_lane55,signal,1,55,633.0,147.0
bond_ch1_lane56,signal,1,56,642.0,120.0
bond_ch1_lane57,signal,1,57,642.0,129.0
bond_ch1_lane58,signal,1,58,642.0,138.0
bond_ch1_lane59,signal,1,59,642.0,147.0
bond_ch1_lane60,signal,1,60,651.0,120.0
bond_ch1_lane61,signal,1,61,651.0,129.0
bond_ch1_lane62,signal,1,62,651.0,138.0
bond_ch1_lane63,signal,1,63,651.0,147.0
VDD_BOND,power,1,-1,655.5,124.5
VSS_BOND,power,1,-1,655.5,133.5
VDD_BOND,power,1,-1,655.5,142.5
VSS_BOND,power,1,-1,655.5,151.5
bond_ch1_lane64,signal,1,64,660.0,120.0
bond_ch1_lane65,signal,1,65,660.0,129.0
bond_ch1_lane66,signal,1,66,660.0,138.0
bond_ch1_lane67,signal,1,67,660.0,147.0
bond_ch1_lane68,signal,1,68,669.0,120.0
bond_ch1_lane69,signal,1,69,669.0,129.0
bond_ch1_lane70,signal,1,70,669.0,138.0
bond_ch1_lane71,signal,1,71,669.0,147.0
bond_ch1_lane72,signal,1,72,678.0,120.0
bond_ch1_lane73,signal,1,73,678.0,129.0
bond_ch1_lane74,signal,1,74,678.0,138.0
bond_ch1_lane75,signal,1,75,678.0,147.0
bond_ch1_lane76,signal,1,76,687.0,120.0
bond_ch1_lane77,signal,1,77,687.0,129.0
bond_ch1_lane78,signal,1,78,687.0,138.0
bond_ch1_lane79,signal,1,79,687.0,147.0
VDD_BOND,power,1,-1,691.5,124.5
VSS_BOND,power,1,-1,691.5,133.5
VDD_BOND,power,1,-1,691.5,142.5
VSS_BOND,power,1,-1,691.5,151.5
bond_ch1_lane80,signal,1,80,696.0,120.0
bond_ch1_lane81,signal,1,81,696.0,129.0
bond_ch1_lane82,signal,1,82,696.0,138.0
bond_ch1_lane83,signal,1,83,696.0,147.0
bond_ch1_lane84,signal,1,84,705.0,120.0
bond_ch1_lane85,signal,1,85,705.0,129.0
bond_ch1_lane86,signal,1,86,705.0,138.0
bond_ch1_lane87,signal,1,87,705.0,147.0
bond_ch1_lane88,signal,1,88,714.0,120.0
bond_ch1_lane89,signal,1,89,714.0,129.0
bond_ch1_lane90,signal,1,90,714.0,138.0
bond_ch1_lane91,signal,1,91,714.0,147.0
bond_ch1_lane92,signal,1,92,723.0,120.0
bond_ch1_lane93,signal,1,93,723.0,129.0
bond_ch1_lane94,signal,1,94,723.0,138.0
bond_ch1_lane95,signal,1,95,723.0,147.0
VDD_BOND,power,1,-1,727.5,124.5
VSS_BOND,power,1,-1,727.5,133.5
VDD_BOND,power,1,-1,727.5,142.5
VSS_BOND,power,1,-1,727.5,151.5
bond_ch1_lane96,signal,1,96,732.0,120.0
bond_ch1_lane97,signal,1,97,732.0,129.0
bond_ch1_lane98,signal,1,98,732.0,138.0
bond_ch1_lane99,signal,1,99,732.0,147.0
bond_ch1_lane100,signal,1,100,741.0,120.0
bond_ch1_lane101,signal,1,101,741.0,129.0
bond_ch1_lane102,signal,1,102,741.0,138.0
bond_ch1_lane103,signal,1,103,741.0,147.0
bond_ch1_lane104,signal,1,104,750.0,120.0
bond_ch1_lane105,signal,1,105,750.0,129.0
bond_ch1_lane106,signal,1,106,750.0,138.0
bond_ch1_lane107,signal,1,107,750.0,147.0
bond_ch1_lane108,signal,1,108,759.0,120.0
bond_ch1_lane109,signal,1,109,759.0,129.0
bond_ch1_lane110,signal,1,110,759.0,138.0
bond_ch1_lane111,signal,1,111,759.0,147.0
VDD_BOND,power,1,-1,763.5,124.5
VSS_BOND,power,1,-1,763.5,133.5
VDD_BOND,power,1,-1,763.5,142.5
VSS_BOND,power,1,-1,763.5,151.5
bond_ch1_lane112,signal,1,112,768.0,120.0
bond_ch1_lane113,signal,1,113,768.0,129.0
bond_ch1_lane114,signal,1,114,768.0,138.0
bond_ch1_lane115,signal,1,115,768.0,147.0
bond_ch1_lane116,signal,1,116,777.0,120.0
bond_ch1_lane117,signal,1,117,777.0,129.0
bond_ch1_lane118,signal,1,118,777.0,138.0
bond_ch1_lane119,signal,1,119,777.0,147.0
bond_ch1_lane120,signal,1,120,786.0,120.0
bond_ch1_lane121,signal,1,121,786.0,129.0
bond_ch1_lane122,signal,1,122,786.0,138.0
bond_ch1_lane123,signal,1,123,786.0,147.0
bond_ch1_lane124,signal,1,124,795.0,120.0
bond_ch1_lane125,signal,1,125,795.0,129.0
bond_ch1_lane126,signal,1,126,795.0,138.0
bond_ch1_lane127,signal,1,127,795.0,147.0
VDD_BOND,power,1,-1,799.5,124.5
VSS_BOND,power,1,-1,799.5,133.5
VDD_BOND,power,1,-1,799.5,142.5
VSS_BOND,power,1,-1,799.5,151.5
bond_ch1_lane128,signal,1,128,804.0,120.0
bond_ch1_lane129,signal,1,129,804.0,129.0
bond_ch1_lane130,signal,1,130,804.0,138.0
bond_ch1_lane131,signal,1,131,804.0,147.0
bond_ch1_lane132,signal,1,132,813.0,120.0
bond_ch1_lane133,signal,1,133,813.0,129.0
bond_ch1_lane134,signal,1,134,813.0,138.0
bond_ch1_lane135,signal,1,135,813.0,147.0
bond_ch1_lane136,signal,1,136,822.0,120.0
bond_ch1_lane137,signal,1,137,822.0,129.0
bond_ch1_lane138,signal,1,138,822.0,138.0
bond_ch1_lane139,signal,1,139,822.0,147.0
bond_ch1_lane140,signal,1,140,831.0,120.0
bond_ch1_lane141,signal,1,141,831.0,129.0
bond_ch1_lane142,signal,1,142,831.0,138.0
bond_ch1_lane143,signal,1,143,831.0,147.0
VDD_BOND,power,1,-1,835.5,124.5
VSS_BOND,power,1,-1,835.5,133.5
VDD_BOND,power,1,-1,835.5,142.5
VSS_BOND,power,1,-1,835.5,151.5
bond_ch1_lane144,signal,1,144,840.0,120.0
bond_ch1_lane145,signal,1,145,840.0,129.0
bond_ch1_lane146,signal,1,146,840.0,138.0
bond_ch1_lane147,signal,1,147,840.0,147.0
bond_ch1_lane148,signal,1,148,849.0,120.0
bond_ch1_lane149,signal,1,149,849.0,129.0
bond_ch1_lane150,signal,1,150,849.0,138.0
bond_ch1_lane151,signal,1,151,849.0,147.0
bond_ch1_lane152,signal,1,152,858.0,120.0
bond_ch1_lane153,signal,1,153,858.0,129.0
bond_ch1_lane154,signal,1,154,858.0,138.0
bond_ch1_lane155,signal,1,155,858.0,147.0
bond_ch1_lane156,signal,1,156,867.0,120.0
bond_ch1_lane157,signal,1,157,867.0,129.0
bond_ch1_lane158,signal,1,158,867.0,138.0
bond_ch1_lane159,signal,1,159,867.0,147.0
VDD_BOND,power,1,-1,871.5,124.5
VSS_BOND,power,1,-1,871.5,133.5
VDD_BOND,power,1,-1,871.5,142.5
VSS_BOND,power,1,-1,871.5,151.5
bond_ch1_lane160,signal,1,160,876.0,120.0
bond_ch1_lane161,signal,1,161,876.0,129.0
bond_ch1_lane162,signal,1,162,876.0,138.0
bond_ch1_lane163,signal,1,163,876.0,147.0
bond_ch1_lane164_spare,signal,1,164,885.0,120.0
bond_ch1_lane165_spare,signal,1,165,885.0,129.0
bond_ch1_lane166_spare,signal,1,166,885.0,138.0
bond_ch1_lane167_spare,signal,1,167,885.0,147.0
bond_ch1_lane168_spare,signal,1,168,894.0,120.0
bond_ch1_lane169_spare,signal,1,169,894.0,129.0
bond_ch1_lane170_spare,signal,1,170,894.0,138.0
bond_ch1_lane171_spare,signal,1,171,894.0,147.0
VDD_BOND,power,1,-1,898.5,124.5
VSS_BOND,power,1,-1,898.5,133.5
VDD_BOND,power,1,-1,898.5,142.5
VSS_BOND,power,1,-1,898.5,151.5
bond_ch2_lane0,signal,2,0,912.0,120.0
bond_ch2_lane1,signal,2,1,912.0,129.0
bond_ch2_lane2,signal,2,2,912.0,138.0
bond_ch2_lane3,signal,2,3,912.0,147.0
VDD_BOND,power,2,-1,916.5,124.5
VSS_BOND,power,2,-1,916.5,133.5
VDD_BOND,power,2,-1,916.5,142.5
VSS_BOND,power,2,-1,916.5,151.5
bond_ch2_lane4,signal,2,4,921.0,120.0
bond_ch2_lane5,signal,2,5,921.0,129.0
bond_ch2_lane6,signal,2,6,921.0,138.0
bond_ch2_lane7,signal,2,7,921.0,147.0
bond_ch2_lane8,signal,2,8,930.0,120.0
bond_ch2_lane9,signal,2,9,930.0,129.0
bond_ch2_lane10,signal,2,10,930.0,138.0
bond_ch2_lane11,signal,2,11,930.0,147.0
bond_ch2_lane12,signal,2,12,939.0,120.0
bond_ch2_lane13,signal,2,13,939.0,129.0
bond_ch2_lane14,signal,2,14,939.0,138.0
bond_ch2_lane15,signal,2,15,939.0,147.0
VDD_BOND,power,2,-1,943.5,124.5
VSS_BOND,power,2,-1,943.5,133.5
VDD_BOND,power,2,-1,943.5,142.5
VSS_BOND,power,2,-1,943.5,151.5
bond_ch2_lane16,signal,2,16,948.0,120.0
bond_ch2_lane17,signal,2,17,948.0,129.0
bond_ch2_lane18,signal,2,18,948.0,138.0
bond_ch2_lane19,signal,2,19,948.0,147.0
bond_ch2_lane20,signal,2,20,957.0,120.0
bond_ch2_lane21,signal,2,21,957.0,129.0
bond_ch2_lane22,signal,2,22,957.0,138.0
bond_ch2_lane23,signal,2,23,957.0,147.0
bond_ch2_lane24,signal,2,24,966.0,120.0
bond_ch2_lane25,signal,2,25,966.0,129.0
bond_ch2_lane26,signal,2,26,966.0,138.0
bond_ch2_lane27,signal,2,27,966.0,147.0
bond_ch2_lane28,signal,2,28,975.0,120.0
bond_ch2_lane29,signal,2,29,975.0,129.0
bond_ch2_lane30,signal,2,30,975.0,138.0
bond_ch2_lane31,signal,2,31,975.0,147.0
VDD_BOND,power,2,-1,979.5,124.5
VSS_BOND,power,2,-1,979.5,133.5
VDD_BOND,power,2,-1,979.5,142.5
VSS_BOND,power,2,-1,979.5,151.5
bond_ch2_lane32,signal,2,32,984.0,120.0
bond_ch2_lane33,signal,2,33,984.0,129.0
bond_ch2_lane34,signal,2,34,984.0,138.0
bond_ch2_lane35,signal,2,35,984.0,147.0
bond_ch2_lane36,signal,2,36,993.0,120.0
bond_ch2_lane37,signal,2,37,993.0,129.0
bond_ch2_lane38,signal,2,38,993.0,138.0
bond_ch2_lane39,signal,2,39,993.0,147.0
bond_ch2_lane40,signal,2,40,1002.0,120.0
bond_ch2_lane41,signal,2,41,1002.0,129.0
bond_ch2_lane42,signal,2,42,1002.0,138.0
bond_ch2_lane43,signal,2,43,1002.0,147.0
bond_ch2_lane44,signal,2,44,1011.0,120.0
bond_ch2_lane45,signal,2,45,1011.0,129.0
bond_ch2_lane46,signal,2,46,1011.0,138.0
bond_ch2_lane47,signal,2,47,1011.0,147.0
VDD_BOND,power,2,-1,1015.5,124.5
VSS_BOND,power,2,-1,1015.5,133.5
VDD_BOND,power,2,-1,1015.5,142.5
VSS_BOND,power,2,-1,1015.5,151.5
bond_ch2_lane48,signal,2,48,1020.0,120.0
bond_ch2_lane49,signal,2,49,1020.0,129.0
bond_ch2_lane50,signal,2,50,1020.0,138.0
bond_ch2_lane51,signal,2,51,1020.0,147.0
bond_ch2_lane52,signal,2,52,1029.0,120.0
bond_ch2_lane53,signal,2,53,1029.0,129.0
bond_ch2_lane54,signal,2,54,1029.0,138.0
bond_ch2_lane55,signal,2,55,1029.0,147.0
bond_ch2_lane56,signal,2,56,1038.0,120.0
bond_ch2_lane57,signal,2,57,1038.0,129.0
bond_ch2_lane58,signal,2,58,1038.0,138.0
bond_ch2_lane59,signal,2,59,1038.0,147.0
bond_ch2_lane60,signal,2,60,1047.0,120.0
bond_ch2_lane61,signal,2,61,1047.0,129.0
bond_ch2_lane62,signal,2,62,1047.0,138.0
bond_ch2_lane63,signal,2,63,1047.0,147.0
VDD_BOND,power,2,-1,1051.5,124.5
VSS_BOND,power,2,-1,1051.5,133.5
VDD_BOND,power,2,-1,1051.5,142.5
VSS_BOND,power,2,-1,1051.5,151.5
bond_ch2_lane64,signal,2,64,1056.0,120.0
bond_ch2_lane65,signal,2,65,1056.0,129.0
bond_ch2_lane66,signal,2,66,1056.0,138.0
bond_ch2_lane67,signal,2,67,1056.0,147.0
bond_ch2_lane68,signal,2,68,1065.0,120.0
bond_ch2_lane69,signal,2,69,1065.0,129.0
bond_ch2_lane70,signal,2,70,1065.0,138.0
bond_ch2_lane71,signal,2,71,1065.0,147.0
bond_ch2_lane72,signal,2,72,1074.0,120.0
bond_ch2_lane73,signal,2,73,1074.0,129.0
bond_ch2_lane74,signal,2,74,1074.0,138.0
bond_ch2_lane75,signal,2,75,1074.0,147.0
bond_ch2_lane76,signal,2,76,1083.0,120.0
bond_ch2_lane77,signal,2,77,1083.0,129.0
bond_ch2_lane78,signal,2,78,1083.0,138.0
bond_ch2_lane79,signal,2,79,1083.0,147.0
VDD_BOND,power,2,-1,1087.5,124.5
VSS_BOND,power,2,-1,1087.5,133.5
VDD_BOND,power,2,-1,1087.5,142.5
VSS_BOND,power,2,-1,1087.5,151.5
bond_ch2_lane80,signal,2,80,1092.0,120.0
bond_ch2_lane81,signal,2,81,1092.0,129.0
